"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 18:53:25 GMT 2022","Mon Sep 19 18:53:26 GMT 2022","1210","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","verifyArticleDeletionRequest","verifyArticleDeletionRequest",""
"passed","Mon Sep 19 18:53:15 GMT 2022","Mon Sep 19 18:53:17 GMT 2022","1828","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Mon Sep 19 18:53:23 GMT 2022","Mon Sep 19 18:53:24 GMT 2022","1771","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteSameArticleTwice","deleteSameArticleTwice",""
"passed","Mon Sep 19 18:53:20 GMT 2022","Mon Sep 19 18:53:22 GMT 2022","1879","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteArticleOfDifferentUser","deleteArticleOfDifferentUser",""
"passed","Mon Sep 19 18:53:27 GMT 2022","Mon Sep 19 18:53:30 GMT 2022","2412","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Mon Sep 19 18:53:30 GMT 2022","Mon Sep 19 18:53:33 GMT 2022","3060","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Mon Sep 19 18:53:30 GMT 2022","Mon Sep 19 18:53:32 GMT 2022","2511","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Mon Sep 19 18:53:17 GMT 2022","Mon Sep 19 18:53:19 GMT 2022","1876","Backbase API Tests","Articles Testcases","articles.ArticleUpdateTest","articles.ArticleUpdateTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Mon Sep 19 18:53:08 GMT 2022","Mon Sep 19 18:53:10 GMT 2022","1485","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleAndValidateResponse","createNewArticleAndValidateResponse",""
"failed","Mon Sep 19 18:53:27 GMT 2022","Mon Sep 19 18:53:29 GMT 2022","1831","Backbase API Tests","Comments Testcases","comments.CommentsRetrieveTest","comments.CommentsRetrieveTest","retrieveCommentsFromAnArticle","retrieveCommentsFromAnArticle",""
"passed","Mon Sep 19 18:53:27 GMT 2022","Mon Sep 19 18:53:30 GMT 2022","2543","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOthersArticle","verifyPostACommentIsSuccessfulForOthersArticle",""
"passed","Mon Sep 19 18:53:27 GMT 2022","Mon Sep 19 18:53:29 GMT 2022","2039","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOwnArticle","verifyPostACommentIsSuccessfulForOwnArticle",""
"passed","Mon Sep 19 18:53:27 GMT 2022","Mon Sep 19 18:53:31 GMT 2022","3130","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Mon Sep 19 18:53:10 GMT 2022","Mon Sep 19 18:53:13 GMT 2022","2420","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleWithExistingTitle","createNewArticleWithExistingTitle",""
"passed","Mon Sep 19 18:53:13 GMT 2022","Mon Sep 19 18:53:14 GMT 2022","589","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","invokeCreateArticleWithInvalidJWTtoken","invokeCreateArticleWithInvalidJWTtoken",""
