"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 03:48:18 GMT 2022","Tue Sep 20 03:48:20 GMT 2022","1802","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOwnArticle","verifyPostACommentIsSuccessfulForOwnArticle",""
"passed","Tue Sep 20 03:48:11 GMT 2022","Tue Sep 20 03:48:13 GMT 2022","1891","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteArticleOfDifferentUser","deleteArticleOfDifferentUser",""
"passed","Tue Sep 20 03:48:06 GMT 2022","Tue Sep 20 03:48:08 GMT 2022","1850","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Tue Sep 20 03:48:16 GMT 2022","Tue Sep 20 03:48:17 GMT 2022","1182","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","verifyArticleDeletionRequest","verifyArticleDeletionRequest",""
"failed","Tue Sep 20 03:48:18 GMT 2022","Tue Sep 20 03:48:20 GMT 2022","1824","Backbase API Tests","Comments Testcases","comments.CommentsRetrieveTest","comments.CommentsRetrieveTest","retrieveCommentsFromAnArticle","retrieveCommentsFromAnArticle",""
"passed","Tue Sep 20 03:48:13 GMT 2022","Tue Sep 20 03:48:15 GMT 2022","1759","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteSameArticleTwice","deleteSameArticleTwice",""
"passed","Tue Sep 20 03:48:01 GMT 2022","Tue Sep 20 03:48:04 GMT 2022","2406","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleWithExistingTitle","createNewArticleWithExistingTitle",""
"passed","Tue Sep 20 03:48:05 GMT 2022","Tue Sep 20 03:48:05 GMT 2022","586","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","invokeCreateArticleWithInvalidJWTtoken","invokeCreateArticleWithInvalidJWTtoken",""
"passed","Tue Sep 20 03:48:21 GMT 2022","Tue Sep 20 03:48:23 GMT 2022","2382","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Tue Sep 20 03:48:08 GMT 2022","Tue Sep 20 03:48:10 GMT 2022","1835","Backbase API Tests","Articles Testcases","articles.ArticleUpdateTest","articles.ArticleUpdateTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Tue Sep 20 03:48:18 GMT 2022","Tue Sep 20 03:48:21 GMT 2022","2371","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Tue Sep 20 03:47:59 GMT 2022","Tue Sep 20 03:48:01 GMT 2022","1358","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleAndValidateResponse","createNewArticleAndValidateResponse",""
"passed","Tue Sep 20 03:48:21 GMT 2022","Tue Sep 20 03:48:24 GMT 2022","3031","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Tue Sep 20 03:48:18 GMT 2022","Tue Sep 20 03:48:20 GMT 2022","2448","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOthersArticle","verifyPostACommentIsSuccessfulForOthersArticle",""
"passed","Tue Sep 20 03:48:18 GMT 2022","Tue Sep 20 03:48:21 GMT 2022","3057","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
