"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 20 03:34:46 GMT 2022","Tue Sep 20 03:34:47 GMT 2022","1744","Backbase API Tests","Comments Testcases","comments.CommentsRetrieveTest","comments.CommentsRetrieveTest","retrieveCommentsFromAnArticle","retrieveCommentsFromAnArticle",""
"passed","Tue Sep 20 03:34:46 GMT 2022","Tue Sep 20 03:34:48 GMT 2022","2348","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOthersArticle","verifyPostACommentIsSuccessfulForOthersArticle",""
"passed","Tue Sep 20 03:34:48 GMT 2022","Tue Sep 20 03:34:50 GMT 2022","2261","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Tue Sep 20 03:34:44 GMT 2022","Tue Sep 20 03:34:45 GMT 2022","1145","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","verifyArticleDeletionRequest","verifyArticleDeletionRequest",""
"passed","Tue Sep 20 03:34:27 GMT 2022","Tue Sep 20 03:34:29 GMT 2022","1444","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleAndValidateResponse","createNewArticleAndValidateResponse",""
"passed","Tue Sep 20 03:34:36 GMT 2022","Tue Sep 20 03:34:38 GMT 2022","1765","Backbase API Tests","Articles Testcases","articles.ArticleUpdateTest","articles.ArticleUpdateTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Tue Sep 20 03:34:41 GMT 2022","Tue Sep 20 03:34:43 GMT 2022","1675","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteSameArticleTwice","deleteSameArticleTwice",""
"passed","Tue Sep 20 03:34:46 GMT 2022","Tue Sep 20 03:34:48 GMT 2022","1717","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOwnArticle","verifyPostACommentIsSuccessfulForOwnArticle",""
"passed","Tue Sep 20 03:34:39 GMT 2022","Tue Sep 20 03:34:41 GMT 2022","1795","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteArticleOfDifferentUser","deleteArticleOfDifferentUser",""
"passed","Tue Sep 20 03:34:46 GMT 2022","Tue Sep 20 03:34:48 GMT 2022","2274","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Tue Sep 20 03:34:34 GMT 2022","Tue Sep 20 03:34:36 GMT 2022","1780","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Tue Sep 20 03:34:46 GMT 2022","Tue Sep 20 03:34:49 GMT 2022","2910","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Tue Sep 20 03:34:30 GMT 2022","Tue Sep 20 03:34:32 GMT 2022","2311","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleWithExistingTitle","createNewArticleWithExistingTitle",""
"passed","Tue Sep 20 03:34:33 GMT 2022","Tue Sep 20 03:34:33 GMT 2022","616","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","invokeCreateArticleWithInvalidJWTtoken","invokeCreateArticleWithInvalidJWTtoken",""
"passed","Tue Sep 20 03:34:48 GMT 2022","Tue Sep 20 03:34:51 GMT 2022","2913","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
