"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 19:07:46 GMT 2022","Mon Sep 19 19:07:49 GMT 2022","2647","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Mon Sep 19 19:07:44 GMT 2022","Mon Sep 19 19:07:45 GMT 2022","1211","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","verifyArticleDeletionRequest","verifyArticleDeletionRequest",""
"passed","Mon Sep 19 19:07:41 GMT 2022","Mon Sep 19 19:07:43 GMT 2022","1786","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteSameArticleTwice","deleteSameArticleTwice",""
"passed","Mon Sep 19 19:07:49 GMT 2022","Mon Sep 19 19:07:51 GMT 2022","2359","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Mon Sep 19 19:07:34 GMT 2022","Mon Sep 19 19:07:35 GMT 2022","1867","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Mon Sep 19 19:07:49 GMT 2022","Mon Sep 19 19:07:52 GMT 2022","3291","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Mon Sep 19 19:07:46 GMT 2022","Mon Sep 19 19:07:49 GMT 2022","3042","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Mon Sep 19 19:07:27 GMT 2022","Mon Sep 19 19:07:28 GMT 2022","1455","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleAndValidateResponse","createNewArticleAndValidateResponse",""
"failed","Mon Sep 19 19:07:46 GMT 2022","Mon Sep 19 19:07:48 GMT 2022","1789","Backbase API Tests","Comments Testcases","comments.CommentsRetrieveTest","comments.CommentsRetrieveTest","retrieveCommentsFromAnArticle","retrieveCommentsFromAnArticle",""
"passed","Mon Sep 19 19:07:39 GMT 2022","Mon Sep 19 19:07:41 GMT 2022","1896","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteArticleOfDifferentUser","deleteArticleOfDifferentUser",""
"passed","Mon Sep 19 19:07:32 GMT 2022","Mon Sep 19 19:07:33 GMT 2022","580","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","invokeCreateArticleWithInvalidJWTtoken","invokeCreateArticleWithInvalidJWTtoken",""
"passed","Mon Sep 19 19:07:46 GMT 2022","Mon Sep 19 19:07:48 GMT 2022","2501","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOthersArticle","verifyPostACommentIsSuccessfulForOthersArticle",""
"passed","Mon Sep 19 19:07:36 GMT 2022","Mon Sep 19 19:07:38 GMT 2022","1852","Backbase API Tests","Articles Testcases","articles.ArticleUpdateTest","articles.ArticleUpdateTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Mon Sep 19 19:07:46 GMT 2022","Mon Sep 19 19:07:48 GMT 2022","1886","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOwnArticle","verifyPostACommentIsSuccessfulForOwnArticle",""
"passed","Mon Sep 19 19:07:29 GMT 2022","Mon Sep 19 19:07:32 GMT 2022","2380","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleWithExistingTitle","createNewArticleWithExistingTitle",""
