"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 18:50:22 GMT 2022","Mon Sep 19 18:50:24 GMT 2022","2651","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOthersArticle","verifyPostACommentIsSuccessfulForOthersArticle",""
"passed","Mon Sep 19 18:50:22 GMT 2022","Mon Sep 19 18:50:24 GMT 2022","2446","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Mon Sep 19 18:50:22 GMT 2022","Mon Sep 19 18:50:25 GMT 2022","3055","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"failed","Mon Sep 19 18:50:22 GMT 2022","Mon Sep 19 18:50:24 GMT 2022","1861","Backbase API Tests","Comments Testcases","comments.CommentsRetrieveTest","comments.CommentsRetrieveTest","retrieveCommentsFromAnArticle","retrieveCommentsFromAnArticle",""
"passed","Mon Sep 19 18:50:14 GMT 2022","Mon Sep 19 18:50:16 GMT 2022","1902","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteArticleOfDifferentUser","deleteArticleOfDifferentUser",""
"passed","Mon Sep 19 18:50:09 GMT 2022","Mon Sep 19 18:50:11 GMT 2022","2185","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Mon Sep 19 18:50:25 GMT 2022","Mon Sep 19 18:50:28 GMT 2022","3163","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Mon Sep 19 18:50:24 GMT 2022","Mon Sep 19 18:50:27 GMT 2022","2379","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Mon Sep 19 18:50:12 GMT 2022","Mon Sep 19 18:50:14 GMT 2022","1841","Backbase API Tests","Articles Testcases","articles.ArticleUpdateTest","articles.ArticleUpdateTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Mon Sep 19 18:50:04 GMT 2022","Mon Sep 19 18:50:07 GMT 2022","2429","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleWithExistingTitle","createNewArticleWithExistingTitle",""
"passed","Mon Sep 19 18:50:22 GMT 2022","Mon Sep 19 18:50:24 GMT 2022","1844","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOwnArticle","verifyPostACommentIsSuccessfulForOwnArticle",""
"passed","Mon Sep 19 18:50:08 GMT 2022","Mon Sep 19 18:50:08 GMT 2022","580","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","invokeCreateArticleWithInvalidJWTtoken","invokeCreateArticleWithInvalidJWTtoken",""
"passed","Mon Sep 19 18:50:20 GMT 2022","Mon Sep 19 18:50:21 GMT 2022","1205","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","verifyArticleDeletionRequest","verifyArticleDeletionRequest",""
"passed","Mon Sep 19 18:50:02 GMT 2022","Mon Sep 19 18:50:04 GMT 2022","1472","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleAndValidateResponse","createNewArticleAndValidateResponse",""
"passed","Mon Sep 19 18:50:17 GMT 2022","Mon Sep 19 18:50:19 GMT 2022","1989","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteSameArticleTwice","deleteSameArticleTwice",""
