"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 18:12:56 GMT 2022","Mon Sep 19 18:12:58 GMT 2022","2532","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOthersArticle","verifyPostACommentIsSuccessfulForOthersArticle",""
"passed","Mon Sep 19 18:12:54 GMT 2022","Mon Sep 19 18:12:55 GMT 2022","1154","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","verifyArticleDeletionRequest","verifyArticleDeletionRequest",""
"passed","Mon Sep 19 18:12:59 GMT 2022","Mon Sep 19 18:13:01 GMT 2022","2288","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Mon Sep 19 18:12:51 GMT 2022","Mon Sep 19 18:12:53 GMT 2022","1833","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteSameArticleTwice","deleteSameArticleTwice",""
"passed","Mon Sep 19 18:12:37 GMT 2022","Mon Sep 19 18:12:38 GMT 2022","1447","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleAndValidateResponse","createNewArticleAndValidateResponse",""
"passed","Mon Sep 19 18:12:43 GMT 2022","Mon Sep 19 18:12:45 GMT 2022","1877","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Mon Sep 19 18:12:56 GMT 2022","Mon Sep 19 18:12:58 GMT 2022","1978","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOwnArticle","verifyPostACommentIsSuccessfulForOwnArticle",""
"passed","Mon Sep 19 18:12:59 GMT 2022","Mon Sep 19 18:13:02 GMT 2022","3042","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Mon Sep 19 18:12:39 GMT 2022","Mon Sep 19 18:12:41 GMT 2022","2348","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleWithExistingTitle","createNewArticleWithExistingTitle",""
"passed","Mon Sep 19 18:12:56 GMT 2022","Mon Sep 19 18:12:58 GMT 2022","2323","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Mon Sep 19 18:12:49 GMT 2022","Mon Sep 19 18:12:51 GMT 2022","1827","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteArticleOfDifferentUser","deleteArticleOfDifferentUser",""
"passed","Mon Sep 19 18:12:56 GMT 2022","Mon Sep 19 18:12:59 GMT 2022","2930","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"failed","Mon Sep 19 18:12:56 GMT 2022","Mon Sep 19 18:12:58 GMT 2022","1830","Backbase API Tests","Comments Testcases","comments.CommentsRetrieveTest","comments.CommentsRetrieveTest","retrieveCommentsFromAnArticle","retrieveCommentsFromAnArticle",""
"passed","Mon Sep 19 18:12:42 GMT 2022","Mon Sep 19 18:12:43 GMT 2022","591","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","invokeCreateArticleWithInvalidJWTtoken","invokeCreateArticleWithInvalidJWTtoken",""
"passed","Mon Sep 19 18:12:46 GMT 2022","Mon Sep 19 18:12:48 GMT 2022","1821","Backbase API Tests","Articles Testcases","articles.ArticleUpdateTest","articles.ArticleUpdateTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
